City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,ndele,8.4109,20.6473,22.53,93,100,0.57,CF,1699827486
236,stanley,54.868,-1.6985,6.51,96,75,3.6,GB,1699827228
237,holualoa,19.6228,-155.9522,26.97,74,40,4.63,US,1699827420
238,anadyr,64.75,177.4833,-0.72,80,40,7.0,RU,1699827487
239,roccella ionica,38.322,16.4009,19.5,78,39,7.19,IT,1699827488
240,rheinau,48.8667,8.2,10.94,95,100,1.03,DE,1699827488
241,novaya igirma,57.1334,103.9112,-13.72,97,83,1.16,RU,1699827488
242,zuyevka,58.405,51.1335,1.14,83,100,5.25,RU,1699827489
243,keflavik,64.0049,-22.5624,3.95,70,0,8.75,IS,1699827489
244,pangody,65.85,74.4859,-8.94,93,79,5.12,RU,1699827270
245,prince rupert,54.3161,-130.3201,7.05,65,100,5.66,CA,1699827490
246,geraldton,-28.7667,114.6,17.23,88,0,3.6,AU,1699827490
247,labytnangi,66.6572,66.4183,-12.22,90,9,3.9,RU,1699827491
248,kalevala,65.2,31.1667,-4.95,93,83,3.58,RU,1699827491
249,qalat,32.1058,66.9083,8.94,45,32,2.04,AF,1699827491
250,pocito,-31.6833,-68.5833,19.2,20,1,7.9,AR,1699827492
251,graaff-reinet,-32.2522,24.5308,11.62,75,0,1.68,ZA,1699827492
252,ape,57.5393,26.6929,2.24,99,100,2.64,LV,1699827493
253,la'ie,21.6477,-157.9253,30.98,73,25,3.58,US,1699827238
254,soio,-6.1349,12.3689,25.94,84,99,1.28,AO,1699827493
255,nyurba,63.2842,118.3319,-23.44,100,94,1.11,RU,1699827494
256,saveh,35.0213,50.3566,14.92,43,73,0.31,IR,1699827494
257,yeppoon,-23.1333,150.7333,25.88,53,3,4.48,AU,1699827495
258,dharchula,29.85,80.5333,12.87,43,0,2.79,IN,1699827495
259,piacabucu,-10.4056,-36.4344,24.52,76,2,3.69,BR,1699827496
260,taseyevo,57.2169,94.8978,-6.48,84,100,0.45,RU,1699827496
261,nemuro,43.3236,145.575,4.3,54,65,4.99,JP,1699827496
262,lebu,-37.6167,-73.65,10.5,62,2,8.35,CL,1699827245
263,mount isa,-20.7333,139.5,28.87,51,40,1.54,AU,1699827497
264,moree,-29.4667,149.85,28.49,38,2,4.43,AU,1699827497
265,kantunilkin,21.0917,-87.45,30.0,60,13,2.86,MX,1699827498
266,dorado,18.4588,-66.2677,28.99,80,40,5.14,PR,1699827319
267,northam,51.0333,-4.2167,14.25,94,99,5.71,GB,1699827498
268,hasaki,35.7333,140.8333,7.94,82,93,10.5,JP,1699827354
269,jincheng,35.5022,112.8328,1.74,59,100,1.67,CN,1699827499
270,waynesville,35.4887,-82.9887,15.47,61,47,1.34,US,1699827499
271,port isabel,26.0734,-97.2086,18.37,91,100,6.69,US,1699827480
272,itoman,26.1247,127.6694,21.01,68,40,11.32,JP,1699827500
273,alofi,-19.0595,-169.9187,23.94,88,99,5.66,NU,1699827500
274,la passe,45.5549,-0.8967,16.13,89,100,4.25,FR,1699827501
275,pundong,-7.9522,110.3486,24.76,90,66,1.14,ID,1699827501
276,tolanaro,-25.0319,46.9987,20.17,80,0,5.11,MG,1699827502
277,chui,-33.6971,-53.4616,16.28,87,97,2.97,UY,1699827252
278,susuman,62.7833,148.1667,-33.25,98,100,0.23,RU,1699827503
279,genhe,50.7833,121.5167,-14.75,96,13,1.55,CN,1699827503
280,verkhnevilyuysk,63.4453,120.3167,-23.59,100,42,1.4,RU,1699827503
281,howrah,22.5892,88.3103,22.0,83,24,2.57,IN,1699827504
282,garoowe,8.4054,48.4845,25.15,77,18,5.92,SO,1699827504
283,magdalena de kino,30.6333,-110.95,26.46,16,0,0.64,MX,1699827505
284,manta,-0.95,-80.7333,26.88,74,40,5.66,EC,1699827345
285,harlingen,26.1906,-97.6961,18.3,96,100,5.14,US,1699827465
286,dudinka,69.4058,86.1778,-0.74,98,100,7.6,RU,1699827506
287,ejura,7.3856,-1.3562,26.1,67,3,2.06,GH,1699827506
288,akobo,7.4344,3.9497,23.63,96,9,1.72,NG,1699827507
289,peniche,39.3558,-9.3811,18.03,94,41,4.13,PT,1699827507
290,crane,31.3974,-102.3501,15.53,66,100,4.14,US,1699827508
291,tamanrasset,22.785,5.5228,17.95,15,0,4.12,DZ,1699827253
292,tiksi,71.6872,128.8694,-15.83,89,100,6.84,RU,1699827509
293,muntok,-2.0667,105.1833,25.83,85,87,1.82,ID,1699827509
294,debre werk',10.6667,38.1667,13.56,63,86,0.55,ET,1699827509
